word,definition,Example Sentence
agulha," Pequena e fina haste de metal, aguçada de um lado, com um orifício no outro, por onde se enfia a linha ou cordão que serve na costura. Ofício de costureira. Varinha curva, de metal, que tem, em vez de orifício, um pequeno gancho, e que serve para fazer meia. Peça de máquina de costura, que tem o orifício próximo do lado aguçado. Obelisco. ","O ananás-de-agulha, ananás-de-cerca e ananás-de-raposa são outras variedades também encontradas no Brasil."
agulha para coleta de sangue,,
alergia,,"O aumento nas concentrações atmosféricas de CO2 deve favorecer a disseminação de diversos vegetais que provocam grandes incômodos para o homem na forma de alergias, e o gás estimula a produção de pólen, outro alérgeno importante."
analgesia, O mesmo que _analgia_. ,lt;ref&gt;{{citar periódico|ultimo = Daliana Queiroga de Castro Gomes|primeiro = Kevan Guilherme Nóbrega Barbosa|titulo = Analgesia durante o tratamento ortodôntico com o uso do laser de baixa intensidade: revisão sistemática|jornal = Revista Dor|doi = |url = http://www.
analgésico, O mesmo que _análgico_. ,"Neste mesmo período, substancias seriam isoladas em laboratório através de métodos que “abriram as portas” para um intenso desenvolvimento técnico científico da química industrial, teorias revolucionárias foram formuladas e publicadas, e conceitos inéditos foram desenvolvidos: a morfina foi extraída, refinada e isolada com sucesso da flor papoula pelo químico alemão Friedrich Sertürner, em 1804, futuramente seria largamente usada como analgésico para dores severas{{Citar periódico |url=https://www."
analizador de gases sanguíneos,,
andrologia," Ciência do homem e, especialmente, das doenças do homem. ","paralela à andrologia, que lida especificamente com questões ligadas ao aparelho reprodutor masculino."
anemia, Diminuição do sangue no organismo animal. Diminuição dos elementos vivificantes do sangue. ,"Já uma pesquisa feita em 2013 com 46 amapaenses portadores de anemia falciforme (20 pretos, 18 pardos e 08 brancos) estimou a origem do gene causador da doença em 61% bantu, 26% Benin e 12% Senegal."
anestesia, Ausência ou diminuição de sensibilidade. ,"de abril – Após complicações advindas de uma queda de cavalo, no município de Itaboraí, no trajeto de Visconde para Porto das Caixas, cria-se um tumor na fossa ilíaca que tentou ser retirado segundo alguns biólogos sem anestesia, a ferida infecciona e após 40 dias de febre alta falece, às 17 horas no Rio de Janeiro em casa."
anorexia, Falta de apetite. ,"lt;/ref&gt; Trata-se de uma enfermidade altamente contagiosa aos felinos, caracterizada pelo aparecimento súbito de febre, falta de apetite, depressão, vômitos e diarreia, desidratação e leucopenia."
antibiótico,,"Na primeira metade do século XX, o desenvolvimento de antibióticos e fertilizantes artificiais melhorou os padrões de vida dos humanos em todo o planeta."
anticorpo,,"Bernardo Houssay]], o primeiro latino-americano premiado com um Prêmio Nobel em Ciências, descobriu o papel dos hormônios da hipófise na regulação da glicose em animais; César Milstein fez uma extensa pesquisa sobre anticorpos; Luis Leloir descobriu como os organismos armazenam energia convertendo glicose em glicogênio e em compostos que são fundamentais no metabolismo de carboidratos."
