word,definition
agulha," Pequena e fina haste de metal, aguçada de um lado, com um orifício no outro, por onde se enfia a linha ou cordão que serve na costura. Ofício de costureira. Varinha curva, de metal, que tem, em vez de orifício, um pequeno gancho, e que serve para fazer meia. Peça de máquina de costura, que tem o orifício próximo do lado aguçado. Obelisco. "
agulha para coleta de sangue,NA
alergia,NA
analgesia, O mesmo que _analgia_. 
analgésico, O mesmo que _análgico_. 
analizador de gases sanguíneos,NA
andrologia," Ciência do homem e, especialmente, das doenças do homem. "
anemia, Diminuição do sangue no organismo animal. Diminuição dos elementos vivificantes do sangue. 
anestesia, Ausência ou diminuição de sensibilidade. 
anorexia, Falta de apetite. 
antibiótico,NA
anticorpo,NA
antídoto," Substância, que impede a acção nociva de substância venenosa. Contraveneno. "
antigénio,NA
antinflamatório,NA
antitóxico, Contrário aos tóxicos. Que serve de antídoto ou contraveneno. 
aparelho de pressão arterial,NA
aparelho de raio x portátil,NA
apatia, Indiferença. Indolência. Inacessibilidade a comoções. 
apendicectomia, Ablação do apêndice ileocecal. 
arritmia, Irregularidade e desigualdade das contracções do coração. 
artéria," Cada um dos vasos, que levam sangue a todas as partes do corpo. Grande via de comunicação: _o Chiado é uma das principais artérias de Lisboa_. "
artrite, Inflamação nas articulações. 
asma," Dificuldade de respirar, que se manifesta por acessos irregulares. "
aspirador cirúrgico,NA
asseptização,NA
astenia, Fraqueza; debilidade. 
ataxia," Irregularidade, desordem, falta de coordenação, nos movimentos voluntários, contrastando com a integridade da força muscular. "
ateroma," Nome, que se dava ao cisto sebáceo, formado no pescoço ou nas artérias do pescoço. "
atia,NA
atrofia muscular,NA
ausculta,NA
autoclave," Vaso ou marmita, usada especialmente nas farmácias para fazerem cocções sem evaporação. "
bacteremia,NA
bactéria, Insecto orthóptero das regiões intertropicais. 
balança," Instrumento, que determina o peso dos corpos, em relação a certa unidade, e cuja parte essencial é uma alavanca, travessão ou cutelo. Equilibrio: "
balanite, O mesmo que _balanita_. 
bandeja de instrumentos,NA
bariatria,NA
barreira hematoencefálica,NA
bexiga," Reservatório músculo-membranoso, situado na parte inferior do abdómen, e destinado a conter a urina, que deve sair pela uretra. "
bilirrubina,NA
biópsia,NA
bioquímica," Parte da Biologia, que trata da constituição química das substâncias produzidas pela acção da vida. "
bisturi,NA
bócio, Papeira. (Da mesma or. que _bochecha_. Cp. fr. _bosse_) 
bombas de infusão,NA
bradicardia, Pulsação lenta do coração. 
broncoespasmo,NA
