Front,Extra
" Pequena e fina haste de metal, aguçada de um lado, com um orifício no outro, por onde se enfia a linha ou cordão que serve na costura. Ofício de costureira. Varinha curva, de metal, que tem, em vez de orifício, um pequeno gancho, e que serve para fazer meia. Peça de máquina de costura, que tem o orifício próximo do lado aguçado. Obelisco.  {c1::agulha}","Exemplo: O ananás-de-agulha, ananás-de-cerca e ananás-de-raposa são outras variedades também encontradas no Brasil."
"O aumento nas concentrações atmosféricas de CO2 deve favorecer a disseminação de diversos vegetais que provocam grandes incômodos para o homem na forma de {c1::alergia}s, e o gás estimula a produção de pólen, outro alérgeno importante.",
 O mesmo que _analgia_.  {c1::analgesia},Exemplo: lt;ref&gt;{{citar periódico|ultimo = Daliana Queiroga de Castro Gomes|primeiro = Kevan Guilherme Nóbrega Barbosa|titulo = Analgesia durante o tratamento ortodôntico com o uso do laser de baixa intensidade: revisão sistemática|jornal = Revista Dor|doi = |url = http://www.
 O mesmo que _análgico_.  {c1::analgésico},"Exemplo: Neste mesmo período, substancias seriam isoladas em laboratório através de métodos que “abriram as portas” para um intenso desenvolvimento técnico científico da química industrial, teorias revolucionárias foram formuladas e publicadas, e conceitos inéditos foram desenvolvidos: a morfina foi extraída, refinada e isolada com sucesso da flor papoula pelo químico alemão Friedrich Sertürner, em 1804, futuramente seria largamente usada como analgésico para dores severas{{Citar periódico |url=https://www."
" Ciência do homem e, especialmente, das doenças do homem.  {c1::andrologia}","Exemplo: paralela à andrologia, que lida especificamente com questões ligadas ao aparelho reprodutor masculino."
 Diminuição do sangue no organismo animal. Diminuição dos elementos vivificantes do sangue.  {c1::anemia},"Exemplo: Já uma pesquisa feita em 2013 com 46 amapaenses portadores de anemia falciforme (20 pretos, 18 pardos e 08 brancos) estimou a origem do gene causador da doença em 61% bantu, 26% Benin e 12% Senegal."
 Ausência ou diminuição de sensibilidade.  {c1::anestesia},"Exemplo: de abril – Após complicações advindas de uma queda de cavalo, no município de Itaboraí, no trajeto de Visconde para Porto das Caixas, cria-se um tumor na fossa ilíaca que tentou ser retirado segundo alguns biólogos sem anestesia, a ferida infecciona e após 40 dias de febre alta falece, às 17 horas no Rio de Janeiro em casa."
 Falta de apetite.  {c1::anorexia},"Exemplo: lt;/ref&gt; Trata-se de uma enfermidade altamente contagiosa aos felinos, caracterizada pelo aparecimento súbito de febre, falta de apetite, depressão, vômitos e diarreia, desidratação e leucopenia."
"Na primeira metade do século XX, o desenvolvimento de {c1::antibiótico}s e fertilizantes artificiais melhorou os padrões de vida dos humanos em todo o planeta.",
"Bernardo Houssay]], o primeiro latino-americano premiado com um Prêmio Nobel em Ciências, descobriu o papel dos hormônios da hipófise na regulação da glicose em animais; César Milstein fez uma extensa pesquisa sobre {c1::anticorpo}s; Luis Leloir descobriu como os organismos armazenam energia convertendo glicose em glicogênio e em compostos que são fundamentais no metabolismo de carboidratos.",
" Substância, que impede a acção nociva de substância venenosa. Contraveneno.  {c1::antídoto}","Exemplo: Os livros II a VI tratam, respectivamente, sobre a astronomia e a geografia; os livros VII a XI, tratam sobre a zoologia; os XII a XIX, sobre a botânica e a agricultura; os XX a XXVII, sobre apenas a botânica médica; os livros XXVIII a XXXII descrevem diferentes remédios e antídotos retirados de diferentes animais e do próprio homem; e os livros XXXIII a XXXVII tratam unicamente sobre mineralogia e metais."
"Os anticorpos são componentes proteicos do sistema imunitário adquirido, cuja função principal é ligar a si {c1::antigénio}s ou outras substâncias estranhas ao corpo, marcando-os para serem destruídos.",
"Trata-se de um agente {c1::antinflamatório} único porque é muito eficaz contra a artrite gotosa, estando também indicado nas crises agudas de gota e como agente profilático.",
 Contrário aos tóxicos. Que serve de antídoto ou contraveneno.  {c1::antitóxico},"Exemplo: criada também, a Coordenadoria de Comunicação Social como órgão de assistência direta e imediata do Ministro de Estado e instituído o Conselho de Prevenção Antitóxico, como órgão colegiado, diretamente subordinado ao Ministro de Estado."
 Indiferença. Indolência. Inacessibilidade a comoções.  {c1::apatia},"Exemplo: Na verdade, eles argumentaram que a oligarquia da elite é a lei inflexível da natureza humana, em grande parte devido à apatia e divisão das massas (em oposição à unidade, a iniciativa e a unidade das elites), e que as instituições democráticas não fariam mais do que mudar o exercício do poder de opressão à manipulação."
 Ablação do apêndice ileocecal.  {c1::apendicectomia},"Exemplo: Após uma apendicectomia de rotina, contraiu peritonite, fazendo com que caísse em coma durante dias."
 Irregularidade e desigualdade das contracções do coração.  {c1::arritmia},"Exemplo: Pesquisadores sugerem que Hitler sofria de vários males, incluindo síndrome do cólon irritável, lesões na pele, arritmia cardíaca, aterosclerose,{{sfn|Evans|2008|p=508}} doença de Parkinson,{{sfn|BBC News, 1999}}{{sfn|Bullock|1962|p=717}} sífilis,{{sfn|Bullock|1962|p=717}} arterite de células gigantes com arterite temporal{{sfn|Redlich|1993}} e acufeno."
" Cada um dos vasos, que levam sangue a todas as partes do corpo. Grande via de comunicação: _o Chiado é uma das principais artérias de Lisboa_.  {c1::artéria}","Exemplo: A chamada estrada do anel, a principal artéria do país, que interliga cerca de 60% da população, foi restaurada."
 Inflamação nas articulações.  {c1::artrite},"Exemplo: por isso, um agente anti-inflamatório, podendo ser utilizado no caso de lesões desportivas, traumas, artrites e outros tipos de inchaços."
" Dificuldade de respirar, que se manifesta por acessos irregulares.  {c1::asma}","Exemplo: João VI]] tivesse trazido alguns bons médicos para o Rio de Janeiro, era do &quot;tipo caseiro&quot;: rodelinhas de limão nas frontes para enxaquecas, suadouros de sabugueiro e quina, para as febres: cataplasmas contra a asma: antipirina para as dores de cabeça; banhos de malva para as dores nas cadeiras; um &quot;cordial&quot; contra a insônia e, para os loucos, o Hospício, na Praia Vermelha."
 Fraqueza; debilidade.  {c1::astenia},"Exemplo: A partir de Fevereiro de 1900, apresentava, contudo, sintomas bastante debilitantes — dor estomacal, diarreia, febre, nevralgias, inchaço dos pés, falta de apetite e astenia."
" Irregularidade, desordem, falta de coordenação, nos movimentos voluntários, contrastando com a integridade da força muscular.  {c1::ataxia}","Exemplo: UFBA), ''Determinação do teor de ácido cianídrico em folhas de mandioca (Manihot esculenta Crantz) desidratadas'', Natal, Associação Brasileira de Química - Seção Regional do Rio Grande do Norte (ABQ-RN), 2007], consultado em 2017-11-15 composto extremamente volátil, porém, altamente tóxico podendo em pequenas quantidades provocar ataxia e morte Isto deve-se ao fato de que os cianetos iónicos se coordenam com íons férricos contidos no citocromo oxidase III da mitocondria, impedindo a redução do oxigênio em água da cadeia transportadora de elétrons, matando a pessoa exposta por sufocamento."
" Nome, que se dava ao cisto sebáceo, formado no pescoço ou nas artérias do pescoço.  {c1::ateroma}","Exemplo: jpg|thumb|A doença arterial coronária é causada por aterosclerose, a acumulação de placas de material degenerativo nas artérias do coração."
imagem:Atia Balba Caesonia.,
"Diversas doenças causam uma diminuição da massa muscular, conhecida como {c1::atrofia muscular}.",
"O diagnóstico é confirmado com um eletrocardiograma que revela anomalias da condução cardíaca existentes em todas essas doenças, e pela {c1::ausculta} cardíaca.",
" Vaso ou marmita, usada especialmente nas farmácias para fazerem cocções sem evaporação.  {c1::autoclave}","Exemplo: Em cirurgias são utilizados equipamentos desenvolvidos por bioengenheiros: bisturis convencionais e eletrônicos, espéculos dos mais diversos, catéteres, bombas de vácuo, coaguladores eletrônicos, desfibriladores, marca passos, autoclaves etc."
"As capivaras hospedeiras, ao serem infectadas por carrapatos vetores, apresentam {c1::bacteremia} por até três semanas, podendo evoluir ao óbito ou à cura.",
 Insecto orthóptero das regiões intertropicais.  {c1::bactéria},"Exemplo: Outros cultivos transgênicos usados pelos produtores incluem cultivos resistentes a insetos, que possuem um gene da bactéria do solo ''Bacillus thuringiensis'' (Bt), que produz uma toxina específica para insetos."
" Instrumento, que determina o peso dos corpos, em relação a certa unidade, e cuja parte essencial é uma alavanca, travessão ou cutelo. Equilibrio:  {c1::balança}","Exemplo: A Balança Comercial que representa a contabilidade de entrada e saída de bens tangíveis, no período de 2003 a 2009 apresentou um desempenho com um superávit de 74,4%."
 O mesmo que _balanita_.  {c1::balanite},"Exemplo: editor-sobrenome2 =Koyle|editor-nome2 =Martin|editor-sobrenome3 =Yosha|editor-nome3 =Assaf | name-list-format = vanc |título=Surgical Guide to Circumcision|data=2012|publicado=Springer-Verlag|local=London|isbn=978-1-4471-2858-8|páginas=243–259|capítulo=Chapter 21: Why Circumcision:From Prehistory to the Twenty-First Century}}{{rp|257}} A circuncisão também pode ser realizada em crianças ou adultos para tratar fimose, balanite ou para prevenir a transmissão de infecções sexualmente transmissíveis."
"Não possui a {c1::barreira hematoencefálica} típica do encéfalo, o que os tornam vulneráveis a doenças sistêmicas.",
" Reservatório músculo-membranoso, situado na parte inferior do abdómen, e destinado a conter a urina, que deve sair pela uretra.  {c1::bexiga}","Exemplo: As aves não têm bexiga nem uretra exterior, pelo que (à exceção das avestruzes) o ácido úrico é expelido em conjunto com as fezes em dejetos semissólidos."
"Há cerca de 5 milhões de eritrócitos em um milímetro cúbico de sangue humano; eles são produzidos numa velocidade de 2 milhões por segundo por um tecido especial que se localiza na medula óssea de quase todos os ossos no recém nascido, e apenas nos ossos axiais em adultos (arcos costais, corpo vertebral, esterno e ílio) o tecido hematopoiético, e as partículas velhas são destruídas e removidas pelo baço liberando {c1::bilirrubina}.",
Diversos exames de medula óssea podem ser realizados através de {c1::biópsia} para diagnóstico de uma doença.,
" Parte da Biologia, que trata da constituição química das substâncias produzidas pela acção da vida.  {c1::bioquímica}","Exemplo: Já existem vários indícios de que a salinidade está diminuindo em vários mares do mundo, com impacto potencial mas indeterminado sobre a bioquímica marinha."
"Ela pode ser mecânica, com a utilização de pincéis, flanelas, aspirador de pó, {c1::bisturi}, pinça, espátula, cotonetes, borracha de vinil, luvas, máscaras, papel mata-borrão, pesos, cola metilcelulose, etc.",
 Papeira. (Da mesma or. que _bochecha_. Cp. fr. _bosse_)  {c1::bócio},"Exemplo: O iodeto de potássio, KI, é adicionado ao sal comum, NaCl (mistura denominada de sal iodado), para prevenir o surgimento do Bócio endêmico, doença causada pela deficiência de iodo na dieta alimentar."
"Os equipamentos comuns em unidade de terapia intensiva (UTI) incluem os seguintes equipamentos: equipamentos de ventilação mecânica, que auxiliam na respiração através de um tubo endotraqueal ou traqueotomia, equipamentos de hemofiltração, avançado equipamento de monitorização cardiovascular (eletrocardiograma, oxigenação, pressão arterial invasiva e não invasiva, temperatura e capnografia), monitorização hemodinamica invasiva (cateter de Swan-Ganz); vias endovenosas para infusões de drogas injetáveis e nutrição parenteral, sonda nasogástrica e entérica, sondas vesicais, bombas de sucção, drenos, cateteres, desfibrilador, cardioversor, {c1::bombas de infusão} e uma grande variedade de drogas, incluindo drogas vasoativas (inotrópicos, por exemplo), sedativos, antibióticos, analgésicos, antiarritímicos, soros, sangue e derivados, reguladores de pH, anti-inflamatórios esteroidais e não esteroidais, anti-histamínicos, etc.",
 Pulsação lenta do coração.  {c1::bradicardia},Exemplo: O ritmo cardíaco anormalmente baixo denomina-se bradicardia.
"Os efeitos colaterais físicos do uso crônico de cocaína em forma de crack incluem hemoptise (sangue expelido por tosse), {c1::broncoespasmo}s, coceira, febre, eosinofilia pulmonar e sistêmica, dor no peito, trauma pulmonar, dor de garganta, asma, voz rouca, dispneia (falta de ar) e sintomas semelhantes à gripe, como coriza e congestão nasal.",
" Metal branco e amarelado, que se extrai da cal. Metal, que, combinado com o oxigénio, constitue a cal.  {c1::cálcio}","Exemplo: lt;ref name=&quot;PhysicalScienceSummary&quot;/&gt; Este fenômeno é especialmente daninho para os animais que utilizam sais de cálcio para construir suas conchas e estruturas corporais, destacando-se entre eles os corais, os moluscos e crustáceos, bem como muitas espécies de plâncton, que têm essas estruturas dissolvidas ou malformadas pela elevada acidez da água."
"Por exemplo, proteções nas laterais de uma {c1::cama hospitalar} previnem que pacientes rolem durante o sono e caiam.",
"lt;ref name=&quot;:0&quot; /&gt; Idealmente, um {c1::campo cirúrgico} é estéril, o que significa que está livre de todos os contaminantes biológicos (nomeadamente, fungos, bactérias e vírus), não apenas aqueles que podem causar doenças, putrefação ou fermentação.",
 Uma das constelações do Zodíaco. Cancro.  {c1::câncer},"Exemplo: A América Latina está toda localizada no hemisfério ocidental, sendo cortada pelo Trópico de Câncer, o qual atravessa o centro do México, pelo Equador, o qual corta o Brasil, Colômbia, Equador e pelo qual é tocado o norte do Peru; pelo Trópico de Capricórnio, o qual corta o Brasil, o Paraguai, a Argentina e o Chile."
 Tubo de vários instrumentos cirúrgicos.  {c1::cânula},"Exemplo: Assim, as tendas de oxigénio eram antes empregues como suplementos de oxigénio, mas foram substituídas pelas máscaras de oxigénio e cânulas nasais."
"jpg|thumb|300px|A pressão de insuflação máxima do balonete da {c1::cânula de traqueostomia} deverá ser de 27 cmH2O, ou convertendo 20 mmHg.",
 Tratado do coração.  {c1::cardiologia},"Exemplo: option=com_content&amp;view=article&amp;id=7298:hospital-do-suburbio-e-destaque-em-revista-nacional&amp;catid=1:noticiascidadaousuario&amp;Itemid=14}} Hospital Santo Antônio (fundado por Irmã Dulce); Hospital Sarah Kubitschek; Hospital Manoel Victorino; Hospital Santa Izabel; Hospital Ana Nery, referência nas áreas de cardiologia, cirurgia vascular, hemodiálise e transplante de órgãos;{{citar web|url=http://www."
 Tratado do coração.  {c1::cardiologia},"Exemplo: option=com_content&amp;view=article&amp;id=7298:hospital-do-suburbio-e-destaque-em-revista-nacional&amp;catid=1:noticiascidadaousuario&amp;Itemid=14}} Hospital Santo Antônio (fundado por Irmã Dulce); Hospital Sarah Kubitschek; Hospital Manoel Victorino; Hospital Santa Izabel; Hospital Ana Nery, referência nas áreas de cardiologia, cirurgia vascular, hemodiálise e transplante de órgãos;{{citar web|url=http://www."
" Ulceração nos dentes e ossos, que os destrói progressivamente. Caruncho. Doença dos vegetais, semelhante à cárie. Destruição progressiva.  {c1::cárie}","Exemplo: sfn|Case|2003|p=37}} Embora os gatos tendam a ter dentes melhores do que a maioria dos humanos, com cárie geralmente menos provável por causa de uma camada protetora mais espessa de esmalte, uma saliva menos prejudicial, menos retenção de partículas de alimentos entre os dentes e uma dieta quase sem açúcar, estão sujeitos à perda ocasional de dentes e infecção."
" Fluxão nas membranas mucosas. Bronquite. Constipação, acompanhada de tosse.  {c1::catarro}","Exemplo: Bronquiectasia (isto é, dilatação dos brônquios com a presença de catarro) e marcas pleurais podem estar presentes."
