Term,Example Sentence
word,"quot;Thus, in the United States, the once exceedingly useful term 'libertarian' has been hijacked by egotists who are in fact enemies of liberty in the full sense of the word."
Agulha,"O ananás-de-agulha, ananás-de-cerca e ananás-de-raposa são outras variedades também encontradas no Brasil."
Agulha para coleta de sangue,NA
Alergia,"O aumento nas concentrações atmosféricas de CO2 deve favorecer a disseminação de diversos vegetais que provocam grandes incômodos para o homem na forma de alergias, e o gás estimula a produção de pólen, outro alérgeno importante."
Analgesia,lt;ref&gt;{{citar periódico|ultimo = Daliana Queiroga de Castro Gomes|primeiro = Kevan Guilherme Nóbrega Barbosa|titulo = Analgesia durante o tratamento ortodôntico com o uso do laser de baixa intensidade: revisão sistemática|jornal = Revista Dor|doi = |url = http://www.
Analgésico,"Neste mesmo período, substancias seriam isoladas em laboratório através de métodos que “abriram as portas” para um intenso desenvolvimento técnico científico da química industrial, teorias revolucionárias foram formuladas e publicadas, e conceitos inéditos foram desenvolvidos: a morfina foi extraída, refinada e isolada com sucesso da flor papoula pelo químico alemão Friedrich Sertürner, em 1804, futuramente seria largamente usada como analgésico para dores severas{{Citar periódico |url=https://www."
Analizador de gases sanguíneos,NA
Andrologia,"paralela à andrologia, que lida especificamente com questões ligadas ao aparelho reprodutor masculino."
Anemia,"Já uma pesquisa feita em 2013 com 46 amapaenses portadores de anemia falciforme (20 pretos, 18 pardos e 08 brancos) estimou a origem do gene causador da doença em 61% bantu, 26% Benin e 12% Senegal."
Anestesia,"de abril – Após complicações advindas de uma queda de cavalo, no município de Itaboraí, no trajeto de Visconde para Porto das Caixas, cria-se um tumor na fossa ilíaca que tentou ser retirado segundo alguns biólogos sem anestesia, a ferida infecciona e após 40 dias de febre alta falece, às 17 horas no Rio de Janeiro em casa."
Anorexia,"lt;/ref&gt; Trata-se de uma enfermidade altamente contagiosa aos felinos, caracterizada pelo aparecimento súbito de febre, falta de apetite, depressão, vômitos e diarreia, desidratação e leucopenia."
Antibiótico,"Na primeira metade do século XX, o desenvolvimento de antibióticos e fertilizantes artificiais melhorou os padrões de vida dos humanos em todo o planeta."
